user_id ID,birth_year,gender,province,education_level,employment_status,avg_monthly_income,avg_income_category,avg_monthly_expense,avg_expense_category,financial_standing,main_fintech_app,ewallet_spending,investment_type,loan_usage_purpose,outstanding_loan,financial_anxiety_score,digital_time_spent_per_day
U0003,2011,Female,Sulawesi Selatan,Bachelor (S1)/Diploma IV,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,OVO,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,5,7.5
U0009,2002,Female,Sumatera Utara,Junior High School,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,LinkAja,< Rp500.000,Reksadana,Tidak Ada,0.0,2,10.4
U0011,2001,Male,Maluku Utara,Elementary School,Private Employee,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,LinkAja,< Rp500.000,Emas,Tidak Ada,0.0,5,20.0
U0012,2012,Female,Banten,Junior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,LinkAja,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,4,4.9
U0013,2012,Female,Nusa Tenggara Barat,Bachelor (S1)/Diploma IV,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,OVO,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,2,4.1
U0017,2000,Male,Nusa Tenggara Timur,Senior High School,Private Employee,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Dana,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,2,2.4
U0027,2011,Male,Papua Barat Daya,Diploma I/II/III,Not Working,N/A,N/A,< Rp2.000.000,<2jt,Deficit,OVO,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,5,5.6
U0032,2007,Male,Maluku Utara,Senior High School,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,OVO,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,4,6.5
U0034,1999,Female,Nusa Tenggara Barat,Postgraduate,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,GoPay,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,2,4.9
U0035,1998,Female,Jambi,Diploma I/II/III,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,GoPay,< Rp500.000,Emas,Tidak Ada,0.0,4,8.8
U0036,2009,Female,Kalimantan Barat,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Kredivo,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,1,3.3
U0039,1998,Female,Papua Selatan,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,< Rp500.000,Saham,Tidak Ada,0.0,5,6.3
U0041,2006,Male,Riau,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,Rp1.000.001 - Rp3.000.000,None,Tidak Ada,0.0,1,6.6
U0042,2010,Male,Gorontalo,Senior High School,Others,Rp4.000.001 - Rp6.000.000,4-6jt,N/A,N/A,Surplus,Kredivo,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,3,6.4
U0043,2003,Male,Papua,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,3,7.1
U0045,2011,Male,Kepulauan Bangka Belitung,Bachelor (S1)/Diploma IV,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Dana,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,4,8.7
U0046,2008,Female,Maluku,Diploma I/II/III,Private Employee,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Akulaku,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,5,8.7
U0047,2001,Male,Bengkulu,Junior High School,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,ShopeePay,< Rp500.000,Kripto,Tidak Ada,0.0,3,10.6
U0053,2012,Female,Kalimantan Tengah,Senior High School,Student,< Rp2.000.000,<2jt,N/A,N/A,Surplus,OVO,< Rp500.000,Reksadana,Tidak Ada,0.0,2,10.6
U0055,2012,Female,Nusa Tenggara Timur,Bachelor (S1)/Diploma IV,Private Employee,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Akulaku,< Rp500.000,Reksadana,Tidak Ada,0.0,1,7.5
U0060,2008,Male,Sumatera Utara,Senior High School,Others,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,5,3.0
U0062,2012,Male,Kalimantan Utara,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,< Rp500.000,Saham,Tidak Ada,0.0,4,10.0
U0064,2005,Male,Maluku Utara,Senior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,ShopeePay,< Rp500.000,Reksadana,Tidak Ada,0.0,4,5.4
U0070,2002,Female,DKI Jakarta,Senior High School,Private Employee,Rp10.000.001 - Rp15.000.000,10-15jt,Rp6.000.001 - Rp10.000.000,6-10jt,Surplus,ShopeePay,Rp1.000.001 - Rp3.000.000,Kripto,Tidak Ada,0.0,1,5.4
U0071,2003,Female,Kalimantan Tengah,Bachelor (S1)/Diploma IV,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,OVO,< Rp500.000,Reksadana,Tidak Ada,0.0,2,8.9
U0072,2001,Male,Riau,Senior High School,Private Employee,N/A,N/A,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,GoPay,< Rp500.000,Emas,Tidak Ada,0.0,4,8.9
U0076,2005,Female,Maluku,Bachelor (S1)/Diploma IV,Not Working,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Kredivo,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,5,6.5
U0077,2004,Female,Bali,Senior High School,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Akulaku,Rp1.000.001 - Rp3.000.000,Kripto,Tidak Ada,0.0,2,7.4
U0078,2008,Male,Papua Barat,Senior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,< Rp500.000,None,Tidak Ada,0.0,3,6.9
U0079,2001,Male,DKI Jakarta,Postgraduate,Student,N/A,N/A,< Rp2.000.000,<2jt,Deficit,Kredivo,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,1,2.8
U0086,2005,Male,Kalimantan Utara,Senior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Akulaku,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,5,6.6
